ID DEPATAMENTO;DEPARTAMENTO;ID MUNICIPIO;MUNICIPIO;ID LOCALIDAD;LOCALIDAD;AÑO SERVICIO;MES SERVICIO;ENERGÍA ACTIVA;ENERGÍA REACTIVA;POTENCIA MÁXIMA;DÍA DE DEMANDA MÁXIMA;FECHA DE DEMANDA MÁXIMA;PROMEDIO DIARIO EN HORAS
52;NARIÑO;52250;EL CHARCO;52250005;LAS MERCEDES (EL CHARCO - NARIÑO);2021;10;1981;608;1283;viernes;10/01/2021 09:00:00 PM;614
52;NARIÑO;52250;EL CHARCO;52250007;SAN JOSÉ DEL TAPAJE (EL CHARCO - NARIÑO);2021;10;15568;4320;80;domingo;10/31/2021 01:15:00 PM;751
52;NARIÑO;52520;FRANCISCO PIZARRO;52520013;SAN PEDRO DEL VINO (FRANCISCO PIZARRO - NARIÑO);2021;10;3698;1842;2746;viernes;10/29/2021 07:15:00 PM;54
52;NARIÑO;52390;LA TOLA;52390005;AGUACATAL (LA TOLA - NARIÑO);2021;10;1670;416;1195;jueves;10/21/2021 06:30:00 PM;532
52;NARIÑO;52390;LA TOLA;52390003;LA VIGÍA DE LA MAR (LA TOLA - NARIÑO);2021;10;6619;2859;30;miércoles;10/06/2021 11:15:00 PM;101
52;NARIÑO;52390;LA TOLA;52390009;MULATOS (LA TOLA - NARIÑO);2021;10;2491;1489;3661;lunes;10/04/2021 06:30:00 PM;331
52;NARIÑO;52390;LA TOLA;52390016;SAN PABLO DEL MAR (LA TOLA - NARIÑO);2021;10;4906;1381;3005;sábado;10/02/2021 07:15:00 PM;648
52;NARIÑO;52490;OLAYA HERRERA;52490913;BOCA DE PRIETA (OLAYA HERRERA - NARIÑO);2021;10;3807;1027;1968;jueves;10/14/2021 03:15:00 PM;721
52;NARIÑO;52835;SAN ANDRÉS DE TUMACO;52835055;BOCAS DE CURAY (TUMACO - NARIÑO);2021;10;9440;2821;576;domingo;10/31/2021 11:45:00 PM;729
52;NARIÑO;52835;SAN ANDRÉS DE TUMACO;52835016;PITAL DE LA COSTA (TUMACO - NARIÑO);2021;10;12205;6959;92;miércoles;10/06/2021 07:00:00 PM;538
52;NARIÑO;52835;SAN ANDRÉS DE TUMACO;52835217;SAN JUAN DE LA COSTA (SAN ANDRÉS DE TUMACO - NARIÑO);2021;10;17961;6334;1376;jueves;10/07/2021 06:30:00 PM;544
52;NARIÑO;52696;SANTA BÁRBARA (ISCUANDÉ);52696014;LA ENSENADA (SANTA BÁRBARA (ISCUANDÉ) - NARIÑO);2021;10;2719;1134;167;miércoles;10/20/2021 07:45:00 PM;615
52;NARIÑO;52696;SANTA BÁRBARA (ISCUANDÉ);52696022;SECADERO (SANTA BÁRBARA (ISCUANDÉ) - NARIÑO);2021;10;3080;2233;1294;sábado;10/30/2021 12:15:00 AM;951
86;PUTUMAYO;86573;PUERTO LEGUÍZAMO;86573009;PIÑUÑA NEGRO (PUERTO LEGUÍZAMO - PUTUMAYO);2021;10;4256;2501;288;sábado;10/23/2021 06:30:00 PM;703
86;PUTUMAYO;86573;PUERTO LEGUÍZAMO;86573000;PUERTO LEGUÍZAMO (PUERTO LEGUÍZAMO - PUTUMAYO);2021;10;999016;389395;2167;jueves;10/14/2021 02:30:00 PM;2345
76;VALLE DEL CAUCA;76109;BUENAVENTURA;76109032;SAN FRANCISCO NAYA (BUENAVENTURA - VALLE DEL CAUCA);2021;10;6084;3540;3213;sábado;10/30/2021 11:45:00 PM;745
97;VAUPÉS;97161;CARURÚ;97161000;CARURÚ (CARURÚ - VAUPÉS);2021;10;20535;3710;7726;viernes;10/22/2021 06:30:00 PM;1221
97;VAUPÉS;97001;MITÚ;97001000;MITÚ (MITÚ - VAUPÉS);2021;10;1366845;415274;28096;jueves;10/14/2021 11:45:00 PM;24
97;VAUPÉS;97666;TARAIRA;97666000;TARAIRA (TARAIRA - VAUPÉS);2021;10;22286;6711;13385;martes;10/19/2021 12:30:00 AM;725
99;VICHADA;99773;CUMARIBO;99773000;CUMARIBO (CUMARIBO - VICHADA);2021;10;342503;141923;7216;viernes;10/15/2021 02:30:00 PM;24
99;VICHADA;99524;LA PRIMAVERA;99524000;LA PRIMAVERA (LA PRIMAVERA - VICHADA);2021;10;334634;146934;63671;viernes;10/15/2021 07:45:00 PM;2354
99;VICHADA;99001;PUERTO CARREÑO;99001002;CASUARITO (PUERTO CARREÑO - VICHADA);2021;10;25408;9467;12285;jueves;10/28/2021 07:00:00 PM;841
99;VICHADA;99001;PUERTO CARREÑO;99001000;PUERTO CARREÑO (PUERTO CARREÑO - VICHADA);2021;10;2451986;812783;4664;lunes;10/04/2021 01:30:00 PM;2359
99;VICHADA;99624;SANTA ROSALÍA;99624000;SANTA ROSALÍA (SANTA ROSALÍA - VICHADA);2021;10;144935;72513;3961;viernes;10/15/2021 06:45:00 PM;1728
91;AMAZONAS;91001;LETICIA;91001000;LETICIA (LETICIA - AMAZONAS);2021;9;3758106;1158829;734851;lunes;09/20/2021 03:45:00 PM;24
91;AMAZONAS;91540;PUERTO NARIÑO;91540000;PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS);2021;9;109597;38862;23197;sábado;09/04/2021 07:00:00 PM;24
91;AMAZONAS;91798;TARAPACÁ (ANM);91798000;TARAPACÁ (TARAPACÁ (ANM) - AMAZONAS);2021;9;23838;10769;9096;martes;09/28/2021 06:15:00 PM;1021
5;ANTIOQUIA;5873;VIGÍA DEL FUERTE;5873001;SAN ANTONIO DE PADUA (VIGÍA DEL FUERTE - ANTIOQUIA);2021;9;4520;1671;385;martes;09/21/2021 07:00:00 PM;58
5;ANTIOQUIA;5873;VIGÍA DEL FUERTE;5873002;VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA);2021;9;4371;511;3837;jueves;09/16/2021 07:30:00 PM;651
5;ANTIOQUIA;5873;VIGÍA DEL FUERTE;5873000;VIGÍA DEL FUERTE (VIGÍA DEL FUERTE - ANTIOQUIA);2021;9;95811;39504;32877;lunes;09/06/2021 12:30:00 AM;1126
13;BOLÍVAR;13001;CARTAGENA DE INDIAS;13001007;ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR);2021;9;13611;7311;14051;viernes;09/17/2021 03:00:00 PM;421
13;BOLÍVAR;13001;CARTAGENA DE INDIAS;13001037;ISLA MÚCURA (CARTAGENA DE INDIAS - BOLÍVAR);2021;9;6464;2355;1923;sábado;09/25/2021 10:15:00 PM;148
13;BOLÍVAR;13001;CARTAGENA DE INDIAS;13001017;SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR);2021;9;19617;7176;4906;jueves;09/30/2021 09:45:00 PM;1727
18;CAQUETÁ;18150;CARTAGENA DEL CHAIRÁ;18150001;REMOLINO DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ);2021;9;15904;6818;8389;sábado;09/11/2021 06:45:00 PM;827
18;CAQUETÁ;18753;SAN VICENTE DEL CAGUÁN;18753002;GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ);2021;9;12661;6607;383;sábado;09/25/2021 07:00:00 PM;1822
18;CAQUETÁ;18753;SAN VICENTE DEL CAGUÁN;18753015;GUAYABAL (SAN VICENTE DEL CAGUÁN - CAQUETÁ);2021;9;6544;3157;4078;sábado;09/25/2021 06:30:00 PM;721
18;CAQUETÁ;18753;SAN VICENTE DEL CAGUÁN;18753009;PUERTO BETANIA (SAN VICENTE DEL CAGUÁN - CAQUETÁ);2021;9;5861;2302;452;jueves;09/09/2021 07:30:00 PM;553
85;CASANARE;85430;TRINIDAD;85430001;BOCAS DEL PAUTO (TRINIDAD - CASANARE);2021;9;13022;7142;8877;martes;09/14/2021 07:00:00 PM;626
19;CAUCA;19318;GUAPI;19318008;LIMONES (GUAPI - CAUCA);2021;9;7729;3452;5897;jueves;09/02/2021 06:00:00 PM;919
