id_depatamento,departamento,id_municipio,municipio,id_localidad,localidad,ano_servicio,mes_servicio,energia_activa,energia_reactiva,potencia_maxima,dia_de_demanda_maxima,fecha_de_demanda_maxima,promedio_diario_en_horas
52.0,narino,52835.0,san_andres_de_tumaco,52835016.0,pital_de_la_costa_(tumaco_-_narino),2020.0,5.0,14058.0,8041.0,84.0,jueves,05/14/2020_07:00:00_pm,7.06
52.0,narino,52835.0,san_andres_de_tumaco,52835212.0,pueblo_nuevo_(tablon_salado)_(tumaco_-_narino),2020.0,5.0,3771.0,1381.0,18.56,jueves,05/07/2020_06:30:00_pm,8.54
52.0,narino,52835.0,san_andres_de_tumaco,52835217.0,san_juan_de_la_costa_(san_andres_de_tumaco_-_narino),2020.0,5.0,32946.0,27958.0,150.4,viernes,05/15/2020_07:00:00_pm,10.17
52.0,narino,52696.0,santa_barbara_(iscuande),52696014.0,la_ensenada_(santa_barbara_(iscuande)_-_narino),2020.0,5.0,3882.0,5491.0,24.83,lunes,05/04/2020_07:00:00_pm,5.58
52.0,narino,52696.0,santa_barbara_(iscuande),52696017.0,santa_rita_(santa_barbara_(iscuande)_-_narino),2020.0,5.0,6954.0,3632.0,37.96,viernes,05/15/2020_08:00:00_pm,7.09
86.0,putumayo,86573.0,puerto_leguizamo,86573009.0,pinuna_negro_(puerto_leguizamo_-_putumayo),2020.0,5.0,2729.0,1322.0,22.4,domingo,05/31/2020_09:15:00_pm,5.07
86.0,putumayo,86573.0,puerto_leguizamo,86573000.0,puerto_leguizamo_(puerto_leguizamo_-_putumayo),2020.0,5.0,831672.0,271979.0,1600.63,jueves,05/28/2020_03:00:00_pm,24.0
76.0,valle_del_cauca,76109.0,buenaventura,76109032.0,san_francisco_naya_(buenaventura_-_valle_del_cauca),2020.0,5.0,5744.0,3439.0,32.06,sabado,05/09/2020_07:00:00_pm,7.18
97.0,vaupes,97161.0,caruru,97161000.0,caruru_(caruru_-_vaupes),2020.0,5.0,19310.0,6265.0,73.3,sabado,05/09/2020_06:45:00_pm,12.07
97.0,vaupes,97001.0,mitu,97001000.0,mitu_(mitu_-_vaupes),2020.0,5.0,1205135.0,363933.0,2658.32,martes,05/12/2020_12:00:00_am,24.0
97.0,vaupes,97666.0,taraira,97666000.0,taraira_(taraira_-_vaupes),2020.0,5.0,25837.0,8139.0,108.77,viernes,05/01/2020_01:00:00_pm,9.4
